#separator:Tab
#html:true
#columns:word	sentence	translation	additional translations	wiktionary link	attributions
不要	我<b>不要</b>你。	I don't want you.		https://en.m.wiktionary.org/wiki/不要#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #4002566 (CK) & #5663452 (verdastelo9604)
自己	我们<b>自己</b>做的。	We did it ourselves.		https://en.m.wiktionary.org/wiki/自己#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #258059 (CK) & #466262 (fucongcong)
玛丽	<b>玛丽</b>，我喜欢你！	Mary, I love you.		https://en.m.wiktionary.org/wiki/瑪麗#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2763581 (CK) & #8765154 (crescat)
没	汤姆<b>没</b>给我我跟他要的。	Tom didn't give me what I asked him for.		https://en.m.wiktionary.org/wiki/沒#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3946878 (CK) & #5569382 (verdastelo9604)
来	汤姆也<b>来</b>。	Tom is coming, too.		https://en.m.wiktionary.org/wiki/來#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2400190 (CK) & #7774789 (jiangche)
吧	想吃什么就吃什么<b>吧</b>。	Help yourself to anything you'd like to eat.		https://en.m.wiktionary.org/wiki/吧#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #24979 (CK) & #8756357 (crescat)
不能	有你<b>不能</b>做的事吗？	Is there anything you can't do?		https://en.m.wiktionary.org/wiki/不能#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3197861 (CK) & #5780580 (verdastelo9604)
时候	我不知道他什么<b>时候</b>会来。	I don't know when he will come.		https://en.m.wiktionary.org/wiki/時候#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #259946 (CK) & #336663 (fucongcong)
明天	我<b>明天</b>可以來看你嗎？	May I come and see you tomorrow?		https://en.m.wiktionary.org/wiki/明天#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #323088 (CK) & #892532 (Martha)
比	有<b>比</b>沒有好。	It's better than nothing.		https://en.m.wiktionary.org/wiki/比#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3286850 (CK) & #759630 (Martha)
非常	我<b>非常</b>喜欢我的工作。	I like my job very much.	I love my work very much.	https://en.m.wiktionary.org/wiki/非常#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2007 (brauliobezerra) & #407231 (fucongcong)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2144985 (AlanF_US) & #407231 (fucongcong)
很多	汤姆知道玛丽的<b>很多</b>事。	Tom knows a lot of stuff about Mary.		https://en.m.wiktionary.org/wiki/很多#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1093339 (CK) & #5091232 (mirrorvan)
這裡	你在<b>這裡</b>做什麼？	What are you doing here?		https://en.m.wiktionary.org/wiki/這裡#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #61908 (CK) & #839594 (Martha)
昨天	我<b>昨天</b>到這裡的。	I arrived here yesterday.		https://en.m.wiktionary.org/wiki/昨天#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #493788 (CK) & #819435 (Martha)
和	你<b>和</b>汤姆昨天做了什么？	What were you and Tom doing yesterday?		https://en.m.wiktionary.org/wiki/和#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3402517 (CK) & #5993950 (verdastelo9604)
再	我明天<b>再</b>做。	I'll do it tomorrow.	I will do it tomorrow.	https://en.m.wiktionary.org/wiki/再#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2077751 (Spamster) & #8734952 (crescat)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #619610 (ulyssemc1) & #8734952 (crescat)
會	你<b>會</b>做什麼？	What will you make?		https://en.m.wiktionary.org/wiki/會#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #511883 (CK) & #825189 (Martha)
孩子	他為自己的<b>孩子</b>能做的都做了。	He did everything he could for his child.		https://en.m.wiktionary.org/wiki/孩子#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1211454 (alec) & #1205893 (cienias)
多	我們對你知道得不<b>多</b>。	We know so little about you.		https://en.m.wiktionary.org/wiki/多#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3920847 (CK) & #6635877 (verdastelo9604)
朋友	你是湯姆的<b>朋友</b>，不是嗎？	You're Tom's friend, aren't you?	You're a friend of Tom's, aren't you?<br>You are a friend of Tom's, aren't you?	https://en.m.wiktionary.org/wiki/朋友#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #503750 (CK) & #845479 (Martha)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #503749 (CK) & #845479 (Martha)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #3738813 (CK) & #845479 (Martha)
想要	我真的很<b>想要</b>它。	I really do want that.		https://en.m.wiktionary.org/wiki/想要#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #435168 (CK) & #834623 (Martha)
如果	我<b>如果</b>能做，就做。	I would do it if I could.		https://en.m.wiktionary.org/wiki/如果#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #4555298 (Eldad) & #6103247 (verdastelo9604)
现在	我<b>现在</b>不知道。	I don't know right now.		https://en.m.wiktionary.org/wiki/現在#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #5747699 (CM) & #5933764 (verdastelo9604)
用	能讓我<b>用</b><b>用</b>嗎？	Am I allowed to use this?		https://en.m.wiktionary.org/wiki/用#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2129925 (AlanF_US) & #5574405 (verdastelo9604)
住	你<b>住</b>這裡嗎?	Do you live here?		https://en.m.wiktionary.org/wiki/住#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #15882 (CK) & #738478 (Martha)
任何	你可以做<b>任何</b>你想做的事。	You can do whatever you want to.		https://en.m.wiktionary.org/wiki/任何#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #17949 (CK) & #896375 (Martha)
不想	汤姆<b>不想</b>来。	Tom didn't want to come.	Tom doesn't want to come.	https://en.m.wiktionary.org/wiki/不想#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3422381 (CK) & #5630436 (verdastelo9604)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2012182 (CK) & #5630436 (verdastelo9604)
告诉	你<b>告诉</b>了他们什么？	What did you tell them?	What have you told them?	https://en.m.wiktionary.org/wiki/告訴#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3908297 (CH) & #9958560 (GlossaMatik)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #3199999 (CK) & #9958560 (GlossaMatik)
请	<b>请</b>告诉我汤姆很好。	Please tell me Tom is OK.		https://en.m.wiktionary.org/wiki/請#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3721288 (CM) & #5698041 (verdastelo9604)
为什么	你<b>为什么</b>会知道？	Why do you know that?	How do you know about that?<br>How do you know about this?<br>How did you come to know this?	https://en.m.wiktionary.org/wiki/為什麼#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3856475 (CK) & #4885091 (musclegirlxyp)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #3241917 (Hybrid) & #4885091 (musclegirlxyp)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #3130263 (CK) & #4885091 (musclegirlxyp)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #59000 (Zifre) & #4885091 (musclegirlxyp)
希望	我<b>希望</b>汤姆能做我们让他做的事。	I hope Tom can do what we asked him to do.		https://en.m.wiktionary.org/wiki/希望#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2640678 (CK) & #9968852 (GlossaMatik)
走	Tom 不想让Mary<b>走</b>	Tom doesn't want to let Mary go.		https://en.m.wiktionary.org/wiki/走#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1094254 (CK) & #5975066 (zhangxr91)
正在	她现在<b>正在</b>工作。	She is at work right now.		https://en.m.wiktionary.org/wiki/正在#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #313650 (CK) & #2032126 (ydcok)
等	我請他在這裡<b>等</b>。	I asked him to wait here.		https://en.m.wiktionary.org/wiki/等#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #260279 (CK) & #918054 (Martha)
一下	可以等我們<b>一下</b>嗎？	Will you excuse us for a moment?		https://en.m.wiktionary.org/wiki/一下#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2427952 (Hybrid) & #5574812 (verdastelo9604)
谁	您不知道我是<b>谁</b>。	You don't know who I am.		https://en.m.wiktionary.org/wiki/誰#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1762 (Swift) & #502692 (fucongcong)
這	你為什麼在<b>這</b>？	Why are you here?	What are you here for?	https://en.m.wiktionary.org/wiki/這#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1481997 (yethay) & #3742607 (egg0073)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #1109889 (Scott) & #3742607 (egg0073)
应该	你<b>应该</b>自己做。	You must do it yourself.		https://en.m.wiktionary.org/wiki/應該#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #16056 (CK) & #392254 (fucongcong)
这里	你的一个朋友在我们<b>这里</b>。	We have one of your friends here with us.		https://en.m.wiktionary.org/wiki/這裏#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2640704 (CK) & #5965710 (verdastelo9604)
中	我们<b>中</b>的一个得走。	One of us has to go.		https://en.m.wiktionary.org/wiki/中#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2852210 (CK) & #5845651 (verdastelo9604)
下	<b>下</b>一个给你。	The next one's for you.		https://en.m.wiktionary.org/wiki/下#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3168160 (CK) & #5576809 (verdastelo9604)
沒有	Tom<b>沒有</b>孩子。	Tom had no children.		https://en.m.wiktionary.org/wiki/沒有#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #4493709 (CK) & #4504496 (egg0073)
打	汤姆说玛丽<b>打</b>他。	Tom said Mary hit him.	Tom said that Mary hit him.	https://en.m.wiktionary.org/wiki/打#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #6274921 (CK) & #9953358 (GlossaMatik)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #6439406 (CK) & #9953358 (GlossaMatik)
更	我想做<b>更</b>多。	I want to do more.	I'd like to do more.<br>I would like to do more.	https://en.m.wiktionary.org/wiki/更#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #4887841 (CK) & #9965504 (GlossaMatik)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #1142793 (CM) & #9965504 (GlossaMatik)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #1142794 (CM) & #9965504 (GlossaMatik)
多少	他要<b>多少</b>?	How many does he want?		https://en.m.wiktionary.org/wiki/多少#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #288990 (CK) & #778020 (Martha)
觉得	我不<b>觉得</b>它很好。	I don't think it's good.	I don't think that it's good.	https://en.m.wiktionary.org/wiki/覺得#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2276219 (CK) & #9961313 (GlossaMatik)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #7231888 (CK) & #9961313 (GlossaMatik)
过	我告诉<b>过</b>你不要再来这里了。	I told you never to come here again.		https://en.m.wiktionary.org/wiki/過#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2539876 (CK) & #8832695 (crescat)
日本	我不知道他是<b>日本</b>人。	I didn't know that he was Japanese.		https://en.m.wiktionary.org/wiki/日本#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #260133 (CK) & #390549 (fucongcong)
個	湯姆不是<b>個</b>多好的人。	Tom isn't a very nice guy.		https://en.m.wiktionary.org/wiki/個#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #6033344 (CK) & #6583889 (verdastelo9604)
一起	你跟湯姆<b>一起</b>工作嗎？	Are you and Tom working together?		https://en.m.wiktionary.org/wiki/一起#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3738398 (CK) & #6149012 (verdastelo9604)
